SLIDE_NO,SLIDE_NAME,DISTRICT,LONGITUDE,LATITUDE,INITIATION,TRIGGERING,ACTIVITY,MATERIAL_T,GEOLOGY
WB/DAR/78B05/2015/628,TUNG,Darjeeling,88.297262000000003,26.955304999999999,2015,Rainfall,Reactivated,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78B05/2015/627,Rajahata NH55,Darjeeling,88.289805999999999,26.953444000000001,2015,Rainfall,Reactivated,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78B05/2015/472,Near Tung within Karsyang Municipal limit,Darjeeling,88.289000000000001,26.954999999999998,2006,Rainfall,Active,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78B05/2015/494,Mungpoo-Rambhi Road,Darjeeling,88.302138999999997,26.997693999999999,2009,Rainfall,Active,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78A08/2015/89,3 mile-Mongpu Road,Darjeeling,88.295389000000000,27.008666999999999,2009,Rainfall,Active,Debris,Slopewash
WB/DARJ/78A08/2009/0335,,Darjeeling,88.295000000000002,27.009000000000000,2009,Cyclone Aila,Active,Debris,Highly weathered and decomposed quartz biotite gneiss and silty sandy soil
WB/DAR/78B05/2015/658,Tukre,Darjeeling,88.314038999999994,26.994284000000000,2015,Rainfall,Reactivated,Debris,Slopewash
WB/DAR/78B05/2015/495,Mungpoo-Rambhi Road,Darjeeling,88.314290000000000,26.993074000000000,2009,Rainfall,Active,Debris,Colluvium
WB/DAR/78B05/2015/496,Mungpoo-Rambhi Road,Darjeeling,88.317384000000004,26.988572999999999,2009,Rainfall,Active,Rock,QUARTZO-FELDSPATHIC GNEISS
WB/DAR/78B05/2015/497,Mungpoo-Rambhi Road,Darjeeling,88.317581000000004,26.980302999999999,2009,Rainfall,Active,Debris,Slopewash
WB/DAR/78B05/2015/654,BichkaniaN,Darjeeling,88.346917000000005,26.991091000000001,2015,Rainfall,Suspended,Debris,Slopewash
WB/DAR/78B05/2015/655,BichkaniaN,Darjeeling,88.340778000000000,26.990278000000000,2015,Rainfall,Active,Debris,Slopewash
WB/DAR/78A08/2015/1173,,Darjeeling,88.349556000000007,27.004833000000001,2015,Rainfall,Active,Debris,Schist
WB/DAR/78B05/2015/657,Mnagpu,Darjeeling,88.348139000000003,26.971806000000001,2015,Rainfall,Active,Debris,Slopewash
