timestamp,rainfall_mm,grid_lat,grid_lon
2024-09-15,17.514053,27.25,88.5
2024-09-16,47.655685,27.25,88.5
2024-09-17,0.0,27.25,88.5
2024-09-18,0.21777055,27.25,88.5
2024-09-19,0.0,27.25,88.5
2024-09-20,1.1190181,27.25,88.5
2024-09-21,0.0,27.25,88.5
2024-09-22,7.590384,27.25,88.5
2024-09-23,0.0,27.25,88.5
2024-09-24,1.834618,27.25,88.5
2024-09-25,12.668574,27.25,88.5
2024-09-26,58.077763,27.25,88.5
2024-09-27,55.490173,27.25,88.5
2024-09-28,110.85436,27.25,88.5
2024-09-29,27.77122,27.25,88.5
2024-09-30,4.626001,27.25,88.5
2024-10-01,0.0,27.25,88.5
2024-10-02,26.401804,27.25,88.5
2024-10-03,23.729883,27.25,88.5
2024-10-04,36.690964,27.25,88.5
2024-10-05,10.6549,27.25,88.5
2024-10-06,1.3478767,27.25,88.5
2024-10-07,1.729915,27.25,88.5
2024-10-08,5.1257324,27.25,88.5
2024-10-09,10.316,27.25,88.5
2024-10-10,80.13588,27.25,88.5
2024-10-11,0.0,27.25,88.5
2024-10-12,0.0,27.25,88.5
2024-10-13,3.5114367,27.25,88.5
2024-10-14,0.0,27.25,88.5
2024-10-15,4.805323,27.25,88.5
2024-10-16,10.533627,27.25,88.5
2024-10-17,18.00496,27.25,88.5
2024-10-18,0.0,27.25,88.5
2024-10-19,3.289581,27.25,88.5
2024-10-20,7.3414173,27.25,88.5
2024-10-21,0.0,27.25,88.5
2024-10-22,0.0,27.25,88.5
2024-10-23,0.0,27.25,88.5
2024-10-24,0.0,27.25,88.5
2024-10-25,10.655527,27.25,88.5
2024-10-26,4.0117435,27.25,88.5
2024-10-27,0.0,27.25,88.5
2024-10-28,0.0,27.25,88.5
2024-10-29,0.0,27.25,88.5
2024-10-30,2.6885638,27.25,88.5
2024-10-31,20.582045,27.25,88.5
2024-11-01,2.649765,27.25,88.5
2024-11-02,0.23954761,27.25,88.5
2024-11-03,0.0,27.25,88.5
2024-11-04,0.26132467,27.25,88.5
2024-11-05,0.0,27.25,88.5
2024-11-06,0.0,27.25,88.5
2024-11-07,0.0,27.25,88.5
2024-11-08,0.0,27.25,88.5
2024-11-09,0.0,27.25,88.5
2024-11-10,0.0,27.25,88.5
2024-11-11,0.0,27.25,88.5
2024-11-12,0.0,27.25,88.5
2024-11-13,0.4225562,27.25,88.5
2024-11-14,0.0,27.25,88.5
2024-11-15,0.0,27.25,88.5
2024-11-16,0.0,27.25,88.5
2024-11-17,0.0,27.25,88.5
2024-11-18,0.0,27.25,88.5
2024-11-19,0.0,27.25,88.5
2024-11-20,0.0,27.25,88.5
2024-11-21,0.0,27.25,88.5
2024-11-22,0.0,27.25,88.5
2024-11-23,0.6183056,27.25,88.5
2024-11-24,0.0,27.25,88.5
2024-11-25,1.4331915,27.25,88.5
2024-11-26,0.0,27.25,88.5
2024-11-27,0.0,27.25,88.5
2024-11-28,1.1329267,27.25,88.5
2024-11-29,0.0,27.25,88.5
2024-11-30,0.0,27.25,88.5
2024-12-01,0.0,27.25,88.5
2024-12-02,0.0,27.25,88.5
2024-12-03,0.0,27.25,88.5
2024-12-04,0.0,27.25,88.5
2024-12-05,0.11307046,27.25,88.5
2024-12-06,0.0,27.25,88.5
2024-12-07,0.47297254,27.25,88.5
2024-12-08,0.0,27.25,88.5
